Gene,IFNa,IFNg,celltype_level,subset
CMPK2,1.0769147,0.481523463,L1,Monocyte
MT-CO2,-1.059821232,-0.459815624,L1,Monocyte
VAMP5,1.056229529,3.117479388,L1,Monocyte
CD300E,1.050879459,-1.984910654,L1,Monocyte
P2RY6,1.037566392,1.691068515,L1,Monocyte
HESX1,1.037354033,0.493497021,L1,Monocyte
ITGB2,-1.026507549,-0.195119768,L1,Monocyte
ITGB7,1.024392403,1.860225174,L1,Monocyte
LGALS3BP,1.021672612,1.316432826,L1,Monocyte
LTA4H,-1.014449769,-0.454448452,L1,Monocyte
FCGRT,-1.011312842,-0.650947464,L1,Monocyte
IFI6,1.010245232,-0.744832793,L1,Monocyte
MMP19,-1.00454406,-2.529654355,L1,Monocyte
MT-ND4L,-1.001803971,-0.631491104,L1,Monocyte
GIMAP4,0.995492995,1.051887143,L1,Monocyte
CMKLR1,0.994718371,1.114222127,L1,Monocyte
SNX10,0.994694833,2.82108893,L1,Monocyte
PLXDC2,-0.992807755,-0.592213814,L1,Monocyte
LSP1,-0.99087336,-0.080533708,L1,Monocyte
ANXA4,0.985778462,0.76308561,L1,Monocyte
CCR5,0.98455904,0.201314903,L1,Monocyte
GPRIN3,-0.977509074,-1.032343719,L1,Monocyte
CDKN1A,0.973183634,1.199515802,L1,Monocyte
MT-ND5,-0.958398246,-0.767289209,L1,Monocyte
IFI35,0.947728982,0.681323603,L1,Monocyte
SLC16A10,-0.934779398,-1.077980122,L1,Monocyte
JAK2,0.932521962,1.514383155,L1,Monocyte
ATOX1,0.929531061,1.024229844,L1,Monocyte
FAM107B,-0.926207342,-0.078696549,L1,Monocyte
SDC3,0.921497417,1.824060003,L1,Monocyte
MS4A14,-0.918503616,-1.739942677,L1,Monocyte
ATP13A3,-0.91082421,-0.826582567,L1,Monocyte
RNASE1,-0.905473755,-4.251533813,L1,Monocyte
NAV1,-0.902738293,-0.769520875,L1,Monocyte
SLC5A3,-0.901088792,-1.084023166,L1,Monocyte
S100A4,-0.895550006,-0.300892739,L1,Monocyte
ABCC3,-0.894467321,-1.170649686,L1,Monocyte
PLAUR,-0.892319452,-0.466175371,L1,Monocyte
HIST1H1C,-0.889687186,-1.124725933,L1,Monocyte
APOL3,0.878060618,2.840582488,L1,Monocyte
SAMD4A,0.874838441,1.341401984,L1,Monocyte
DYSF,0.871146911,1.269058737,L1,Monocyte
GIMAP7,0.864241622,0.891310605,L1,Monocyte
EEF2,-0.864148733,-0.238640035,L1,Monocyte
GBP5,0.861800059,4.513520469,L1,Monocyte
FGD2,0.858055261,1.379447059,L1,Monocyte
